round,party0_index,party0_name,party1_index,party1_name,proj_dist,payload_dist,party0_norm_eval,party1_norm_eval,party0_sorted_key_eval,party1_sorted_key_eval,party0_unique_token_key_eval,party1_unique_token_key_eval,equivalence_reason
0,10,Julen Markel Gutiérrez,10,Gutiérrez Julen Markel,0,-1,JULEN MARKEL GUTIERREZ,GUTIERREZ JULEN MARKEL,GUTIERREZ JULEN MARKEL,GUTIERREZ JULEN MARKEL,GUTIERREZ JULEN MARKEL,GUTIERREZ JULEN MARKEL,index_match
0,11,Daris  Jovanović,11,Darrs  Jovanović,0,-1,DARIS JOVANOVIC,DARRS JOVANOVIC,DARIS JOVANOVIC,DARRS JOVANOVIC,DARIS JOVANOVIC,DARRS JOVANOVIC,index_match
0,14,Julen Jon Gutiérrez,14,Julen Jon Gutiérrrez,0,-1,JULEN JON GUTIERREZ,JULEN JON GUTIERRREZ,GUTIERREZ JON JULEN,GUTIERRREZ JON JULEN,GUTIERREZ JON JULEN,GUTIERRREZ JON JULEN,index_match
0,585,Yǔxī  Tsui,585,Yǔxī  Tsui,0,-1,YUXI TSUI,YUXI TSUI,TSUI YUXI,TSUI YUXI,TSUI YUXI,TSUI YUXI,index_match
0,1961,Tatsuki  Ono,1961,Ratsuki  Ono,0,-1,TATSUKI ONO,RATSUKI ONO,ONO TATSUKI,ONO RATSUKI,ONO TATSUKI,ONO RATSUKI,index_match
0,21,Maddi  Fernández,21,Fernández Maddi,0,-1,MADDI FERNANDEZ,FERNANDEZ MADDI,FERNANDEZ MADDI,FERNANDEZ MADDI,FERNANDEZ MADDI,FERNANDEZ MADDI,index_match
0,24,Liz  Melo,24,Liz  Melo,0,-1,LIZ MELO,LIZ MELO,LIZ MELO,LIZ MELO,LIZ MELO,LIZ MELO,index_match
0,25,Elias  Eder,25,Elias  Edr,0,-1,ELIAS EDER,ELIAS EDR,EDER ELIAS,EDR ELIAS,EDER ELIAS,EDR ELIAS,index_match
0,26,Leonardo  Mariani,26,kLeonardo  Mariani,0,-1,LEONARDO MARIANI,KLEONARDO MARIANI,LEONARDO MARIANI,KLEONARDO MARIANI,LEONARDO MARIANI,KLEONARDO MARIANI,index_match
0,208,Mikhail  Vinogradov,208,Mnkhail  Vinogradov,0,-1,MIKHAIL VINOGRADOV,MNKHAIL VINOGRADOV,MIKHAIL VINOGRADOV,MNKHAIL VINOGRADOV,MIKHAIL VINOGRADOV,MNKHAIL VINOGRADOV,index_match
0,27,Himari  Ishii,27,Himari  Ishii,0,-1,HIMARI ISHII,HIMARI ISHII,HIMARI ISHII,HIMARI ISHII,HIMARI ISHII,HIMARI ISHII,index_match
0,30,Aada  Jokinen,30,Acda  Jokinen,0,-1,AADA JOKINEN,ACDA JOKINEN,AADA JOKINEN,ACDA JOKINEN,AADA JOKINEN,ACDA JOKINEN,index_match
0,32,Carolina  Rojas,32,Carolina  Rojas,0,-1,CAROLINA ROJAS,CAROLINA ROJAS,CAROLINA ROJAS,CAROLINA ROJAS,CAROLINA ROJAS,CAROLINA ROJAS,index_match
0,36,Julen Àlex Gutiérrez,36,Julen Alex Gutierrez,0,-1,JULEN ALEX GUTIERREZ,JULEN ALEX GUTIERREZ,ALEX GUTIERREZ JULEN,ALEX GUTIERREZ JULEN,ALEX GUTIERREZ JULEN,ALEX GUTIERREZ JULEN,index_match
0,38,José  Alves,38,José  Alves,0,-1,JOSE ALVES,JOSE ALVES,ALVES JOSE,ALVES JOSE,ALVES JOSE,ALVES JOSE,index_match
0,43,Charlotte  Kelly,43,Charlotte  Kekly,0,-1,CHARLOTTE KELLY,CHARLOTTE KEKLY,CHARLOTTE KELLY,CHARLOTTE KEKLY,CHARLOTTE KELLY,CHARLOTTE KEKLY,index_match
0,46,Jude  Chadad,46,Jade  Chadad,0,-1,JUDE CHADAD,JADE CHADAD,CHADAD JUDE,CHADAD JADE,CHADAD JUDE,CHADAD JADE,index_match
0,47,Julen Emma Gutiérrez,47,Julen Emma Gutierrez,0,-1,JULEN EMMA GUTIERREZ,JULEN EMMA GUTIERREZ,EMMA GUTIERREZ JULEN,EMMA GUTIERREZ JULEN,EMMA GUTIERREZ JULEN,EMMA GUTIERREZ JULEN,index_match
0,50,Julen Martín Gutiérrez,50,Julen Martín Gutiérre,0,-1,JULEN MARTIN GUTIERREZ,JULEN MARTIN GUTIERRE,GUTIERREZ JULEN MARTIN,GUTIERRE JULEN MARTIN,GUTIERREZ JULEN MARTIN,GUTIERRE JULEN MARTIN,index_match
0,53,Olivia  Alexander,53,Olivia  Alexander,0,-1,OLIVIA ALEXANDER,OLIVIA ALEXANDER,ALEXANDER OLIVIA,ALEXANDER OLIVIA,ALEXANDER OLIVIA,ALEXANDER OLIVIA,index_match
0,1467,Alexander  Miranda,1467,Miranda Alexander,0,-1,ALEXANDER MIRANDA,MIRANDA ALEXANDER,ALEXANDER MIRANDA,ALEXANDER MIRANDA,ALEXANDER MIRANDA,ALEXANDER MIRANDA,index_match
0,1800,Alexandra  Lebedev,1800,Alexandra  Lebdeev,0,-1,ALEXANDRA LEBEDEV,ALEXANDRA LEBDEEV,ALEXANDRA LEBEDEV,ALEXANDRA LEBDEEV,ALEXANDRA LEBEDEV,ALEXANDRA LEBDEEV,index_match
0,345,Riko  Ishikawa,345,Riko  Ishikawa,0,-1,RIKO ISHIKAWA,RIKO ISHIKAWA,ISHIKAWA RIKO,ISHIKAWA RIKO,ISHIKAWA RIKO,ISHIKAWA RIKO,index_match
0,57,Ji-an  Gwon,57,Gwon Ji-an,0,-1,JI AN GWON,GWON JI AN,AN GWON JI,AN GWON JI,AN GWON JI,AN GWON JI,index_match
0,60,Lucas  Navarrete,60,Lucas  Navarrete,0,-1,LUCAS NAVARRETE,LUCAS NAVARRETE,LUCAS NAVARRETE,LUCAS NAVARRETE,LUCAS NAVARRETE,LUCAS NAVARRETE,index_match
0,63,Tereza  Novotný,63,Tereza  Novotnb,0,-1,TEREZA NOVOTNY,TEREZA NOVOTNB,NOVOTNY TEREZA,NOVOTNB TEREZA,NOVOTNY TEREZA,NOVOTNB TEREZA,index_match
0,65,Ya-ting  Zoeng,65,Zoeng Ya-ting,0,-1,YA TING ZOENG,ZOENG YA TING,TING YA ZOENG,TING YA ZOENG,TING YA ZOENG,TING YA ZOENG,index_match
0,72,Sarah  Chadad,72,Sarah  Chadad,0,-1,SARAH CHADAD,SARAH CHADAD,CHADAD SARAH,CHADAD SARAH,CHADAD SARAH,CHADAD SARAH,index_match
0,652,Ida  Kristensen,652,Ida  Kristensen,0,-1,IDA KRISTENSEN,IDA KRISTENSEN,IDA KRISTENSEN,IDA KRISTENSEN,IDA KRISTENSEN,IDA KRISTENSEN,index_match
0,75,Murad  Ismayilov,75,Murad  Osmayilov,0,-1,MURAD ISMAYILOV,MURAD OSMAYILOV,ISMAYILOV MURAD,MURAD OSMAYILOV,ISMAYILOV MURAD,MURAD OSMAYILOV,index_match
0,76,Mark Dmitry Petrov,76,Mark Dmitry Petrov,0,-1,MARK DMITRY PETROV,MARK DMITRY PETROV,DMITRY MARK PETROV,DMITRY MARK PETROV,DMITRY MARK PETROV,DMITRY MARK PETROV,index_match
0,83,Yūna  Kaneko,83,Yūna  Kaneko,0,-1,YUNA KANEKO,YUNA KANEKO,KANEKO YUNA,KANEKO YUNA,KANEKO YUNA,KANEKO YUNA,index_match
0,84,Sō  Matsumoto,84,So  Matsumoto,0,-1,SO MATSUMOTO,SO MATSUMOTO,MATSUMOTO SO,MATSUMOTO SO,MATSUMOTO SO,MATSUMOTO SO,index_match
0,86,Ajda  Horvat,86,Ajda  Horvat,0,-1,AJDA HORVAT,AJDA HORVAT,AJDA HORVAT,AJDA HORVAT,AJDA HORVAT,AJDA HORVAT,index_match
0,87,Eleni  Samaras,87,Eleni  Samaars,0,-1,ELENI SAMARAS,ELENI SAMAARS,ELENI SAMARAS,ELENI SAMAARS,ELENI SAMARAS,ELENI SAMAARS,index_match
0,93,Mark Andrei Petrov,93,Mwrk Andrei Petrov,0,-1,MARK ANDREI PETROV,MWRK ANDREI PETROV,ANDREI MARK PETROV,ANDREI MWRK PETROV,ANDREI MARK PETROV,ANDREI MWRK PETROV,index_match
0,94,Huseyn  Ismayilov,94,Huseyn  Ismayilov,0,-1,HUSEYN ISMAYILOV,HUSEYN ISMAYILOV,HUSEYN ISMAYILOV,HUSEYN ISMAYILOV,HUSEYN ISMAYILOV,HUSEYN ISMAYILOV,index_match
0,1847,Matvey  Petrov,1847,Matoey  Petrov,0,-1,MATVEY PETROV,MATOEY PETROV,MATVEY PETROV,MATOEY PETROV,MATVEY PETROV,MATOEY PETROV,index_match
0,96,Mark Evgeny Petrov,96,Mark Evgeny Petrov,0,-1,MARK EVGENY PETROV,MARK EVGENY PETROV,EVGENY MARK PETROV,EVGENY MARK PETROV,EVGENY MARK PETROV,EVGENY MARK PETROV,index_match
0,98,Fran  Šarić,98,Fran  Šarić,0,-1,FRAN SARIC,FRAN SARIC,FRAN SARIC,FRAN SARIC,FRAN SARIC,FRAN SARIC,index_match
0,99,Ria  Joensen,99,Ria  Joensen,0,-1,RIA JOENSEN,RIA JOENSEN,JOENSEN RIA,JOENSEN RIA,JOENSEN RIA,JOENSEN RIA,index_match
0,254,Sofía  Johansen,254,Sofía  Johansen,0,-1,SOFIA JOHANSEN,SOFIA JOHANSEN,JOHANSEN SOFIA,JOHANSEN SOFIA,JOHANSEN SOFIA,JOHANSEN SOFIA,index_match
0,100,Minato  Hirano,100,Hirano Minato,0,-1,MINATO HIRANO,HIRANO MINATO,HIRANO MINATO,HIRANO MINATO,HIRANO MINATO,HIRANO MINATO,index_match
0,104,Ji-a  Shen,104,Ji-a  Scen,0,-1,JI A SHEN,JI A SCEN,A JI SHEN,A JI SCEN,A JI SHEN,A JI SCEN,index_match
0,108,Mark Elizaveta Petrov,108,Mark Elizavea Petrov,0,-1,MARK ELIZAVETA PETROV,MARK ELIZAVEA PETROV,ELIZAVETA MARK PETROV,ELIZAVEA MARK PETROV,ELIZAVETA MARK PETROV,ELIZAVEA MARK PETROV,index_match
0,109,Laia  Ortiz,109,Laia  Ortiz,0,-1,LAIA ORTIZ,LAIA ORTIZ,LAIA ORTIZ,LAIA ORTIZ,LAIA ORTIZ,LAIA ORTIZ,index_match
0,110,Carla  López,110,Carla  López,0,-1,CARLA LOPEZ,CARLA LOPEZ,CARLA LOPEZ,CARLA LOPEZ,CARLA LOPEZ,CARLA LOPEZ,index_match
0,111,Bruno  López,111,Bruno  Lpóez,0,-1,BRUNO LOPEZ,BRUNO LPOEZ,BRUNO LOPEZ,BRUNO LPOEZ,BRUNO LOPEZ,BRUNO LPOEZ,index_match
0,114,Nino  Brunner,114,Nino  Brunner,0,-1,NINO BRUNNER,NINO BRUNNER,BRUNNER NINO,BRUNNER NINO,BRUNNER NINO,BRUNNER NINO,index_match
0,115,Viraj  Singh,115,Viraj  Singh,0,-1,VIRAJ SINGH,VIRAJ SINGH,SINGH VIRAJ,SINGH VIRAJ,SINGH VIRAJ,SINGH VIRAJ,index_match
0,117,Yìzé  Luó,117,Luó Yìzé,0,-1,YIZE LUO,LUO YIZE,LUO YIZE,LUO YIZE,LUO YIZE,LUO YIZE,index_match
0,119,Mark Daniil Petrov,119,Mark Daniil Letrov,0,-1,MARK DANIIL PETROV,MARK DANIIL LETROV,DANIIL MARK PETROV,DANIIL LETROV MARK,DANIIL MARK PETROV,DANIIL LETROV MARK,index_match
0,120,Itsuki  Tanaka,120,Tanaka Itsuki,0,-1,ITSUKI TANAKA,TANAKA ITSUKI,ITSUKI TANAKA,ITSUKI TANAKA,ITSUKI TANAKA,ITSUKI TANAKA,index_match
0,123,Stefan  Janev,123,Janev Stefan,0,-1,STEFAN JANEV,JANEV STEFAN,JANEV STEFAN,JANEV STEFAN,JANEV STEFAN,JANEV STEFAN,index_match
0,124,Jacob  Castillo,124,Castillo Jacob,0,-1,JACOB CASTILLO,CASTILLO JACOB,CASTILLO JACOB,CASTILLO JACOB,CASTILLO JACOB,CASTILLO JACOB,index_match
0,126,Malen  Moreno,126,talen  Moreno,0,-1,MALEN MORENO,TALEN MORENO,MALEN MORENO,MORENO TALEN,MALEN MORENO,MORENO TALEN,index_match
0,127,Ali  David,127,Ali  David,0,-1,ALI DAVID,ALI DAVID,ALI DAVID,ALI DAVID,ALI DAVID,ALI DAVID,index_match
0,128,Máté  Molnár,128,Máté  Molnár,0,-1,MATE MOLNAR,MATE MOLNAR,MATE MOLNAR,MATE MOLNAR,MATE MOLNAR,MATE MOLNAR,index_match
0,129,Alejandro  Romero,129,Alejandro  Romero,0,-1,ALEJANDRO ROMERO,ALEJANDRO ROMERO,ALEJANDRO ROMERO,ALEJANDRO ROMERO,ALEJANDRO ROMERO,ALEJANDRO ROMERO,index_match
0,130,Bautista  Morales,130,Bauitsta  Morales,0,-1,BAUTISTA MORALES,BAUITSTA MORALES,BAUTISTA MORALES,BAUITSTA MORALES,BAUTISTA MORALES,BAUITSTA MORALES,index_match
0,132,Aleksandar Nikola Trajanovski,132,Aleksandar Nikola Trajanovski,0,-1,ALEKSANDAR NIKOLA TRAJANOVSKI,ALEKSANDAR NIKOLA TRAJANOVSKI,ALEKSANDAR NIKOLA TRAJANOVSKI,ALEKSANDAR NIKOLA TRAJANOVSKI,ALEKSANDAR NIKOLA TRAJANOVSKI,ALEKSANDAR NIKOLA TRAJANOVSKI,index_match
0,133,Luknė  Jankauskas,133,Luknė  Jankauskas,0,-1,LUKNE JANKAUSKAS,LUKNE JANKAUSKAS,JANKAUSKAS LUKNE,JANKAUSKAS LUKNE,JANKAUSKAS LUKNE,JANKAUSKAS LUKNE,index_match
0,134,Ha-joon  Chen,134,Chen Ha-joon,0,-1,HA JOON CHEN,CHEN HA JOON,CHEN HA JOON,CHEN HA JOON,CHEN HA JOON,CHEN HA JOON,index_match
0,136,Benicio  Morales,136,Benicuo  Morales,0,-1,BENICIO MORALES,BENICUO MORALES,BENICIO MORALES,BENICUO MORALES,BENICIO MORALES,BENICUO MORALES,index_match
0,138,Margarida  Gonçalves,138,Margarida  Gonçalve,0,-1,MARGARIDA GONCALVES,MARGARIDA GONCALVE,GONCALVES MARGARIDA,GONCALVE MARGARIDA,GONCALVES MARGARIDA,GONCALVE MARGARIDA,index_match
0,141,Lėja  Urbonas,141,Lėja  Urbohas,0,-1,LEJA URBONAS,LEJA URBOHAS,LEJA URBONAS,LEJA URBOHAS,LEJA URBONAS,LEJA URBOHAS,index_match
0,142,Dion  Shkreli,142,Dion  Shkrels,0,-1,DION SHKRELI,DION SHKRELS,DION SHKRELI,DION SHKRELS,DION SHKRELI,DION SHKRELS,index_match
0,143,Ji-a  Shin,143,Ji-a  Shin,0,-1,JI A SHIN,JI A SHIN,A JI SHIN,A JI SHIN,A JI SHIN,A JI SHIN,index_match
0,150,James  Mendoza,150,James  Mendoza,0,-1,JAMES MENDOZA,JAMES MENDOZA,JAMES MENDOZA,JAMES MENDOZA,JAMES MENDOZA,JAMES MENDOZA,index_match
0,151,Mikael  Hansen,151,Mikael  Hensen,0,-1,MIKAEL HANSEN,MIKAEL HENSEN,HANSEN MIKAEL,HENSEN MIKAEL,HANSEN MIKAEL,HENSEN MIKAEL,index_match
0,154,Emiliano  García,154,García Emiliano,0,-1,EMILIANO GARCIA,GARCIA EMILIANO,EMILIANO GARCIA,EMILIANO GARCIA,EMILIANO GARCIA,EMILIANO GARCIA,index_match
0,163,Dimitar  Ivanov,163,Dimitar  Ivanov,0,-1,DIMITAR IVANOV,DIMITAR IVANOV,DIMITAR IVANOV,DIMITAR IVANOV,DIMITAR IVANOV,DIMITAR IVANOV,index_match
0,164,David  Vera,164,David  Vera,0,-1,DAVID VERA,DAVID VERA,DAVID VERA,DAVID VERA,DAVID VERA,DAVID VERA,index_match
0,168,Charlotte  Cook,168,Charlotte  Cook,0,-1,CHARLOTTE COOK,CHARLOTTE COOK,CHARLOTTE COOK,CHARLOTTE COOK,CHARLOTTE COOK,CHARLOTTE COOK,index_match
0,1980,Charlotte  Miller,1980,Miller Charlotte,0,-1,CHARLOTTE MILLER,MILLER CHARLOTTE,CHARLOTTE MILLER,CHARLOTTE MILLER,CHARLOTTE MILLER,CHARLOTTE MILLER,index_match
0,170,Martina  Acosta,170,Martina  Acosta,0,-1,MARTINA ACOSTA,MARTINA ACOSTA,ACOSTA MARTINA,ACOSTA MARTINA,ACOSTA MARTINA,ACOSTA MARTINA,index_match
0,171,Samuel  López,171,López Samuel,0,-1,SAMUEL LOPEZ,LOPEZ SAMUEL,LOPEZ SAMUEL,LOPEZ SAMUEL,LOPEZ SAMUEL,LOPEZ SAMUEL,index_match
0,175,Dimitar  Georgiev,175,Dimitaj  Georgiev,0,-1,DIMITAR GEORGIEV,DIMITAJ GEORGIEV,DIMITAR GEORGIEV,DIMITAJ GEORGIEV,DIMITAR GEORGIEV,DIMITAJ GEORGIEV,index_match
0,181,Yǔtóng  Tsui,181,Yǔótng  Tsui,0,-1,YUTONG TSUI,YUOTNG TSUI,TSUI YUTONG,TSUI YUOTNG,TSUI YUTONG,TSUI YUOTNG,index_match
0,182,Bruno  Bianchi,182,Bruno  Bianchi,0,-1,BRUNO BIANCHI,BRUNO BIANCHI,BIANCHI BRUNO,BIANCHI BRUNO,BIANCHI BRUNO,BIANCHI BRUNO,index_match
0,183,Cecília  Ribeiro,183,Cecíplia  Ribeiro,0,-1,CECILIA RIBEIRO,CECIPLIA RIBEIRO,CECILIA RIBEIRO,CECIPLIA RIBEIRO,CECILIA RIBEIRO,CECIPLIA RIBEIRO,index_match
0,185,Liepa Gabija Stankevičius,185,Stankevičius Liepa Gabija,0,-1,LIEPA GABIJA STANKEVICIUS,STANKEVICIUS LIEPA GABIJA,GABIJA LIEPA STANKEVICIUS,GABIJA LIEPA STANKEVICIUS,GABIJA LIEPA STANKEVICIUS,GABIJA LIEPA STANKEVICIUS,index_match
0,186,Emine  Aydın,186,Emine  Aydın,0,-1,EMINE AYDIN,EMINE AYDIN,AYDIN EMINE,AYDIN EMINE,AYDIN EMINE,AYDIN EMINE,index_match
0,191,Noah  Roy,191,Roy Noah,0,-1,NOAH ROY,ROY NOAH,NOAH ROY,NOAH ROY,NOAH ROY,NOAH ROY,index_match
0,1397,Maxim  Volkov,1397,Maxim  Volkxv,0,-1,MAXIM VOLKOV,MAXIM VOLKXV,MAXIM VOLKOV,MAXIM VOLKXV,MAXIM VOLKOV,MAXIM VOLKXV,index_match
0,1538,Liam  Lee,1538,iam  Lee,0,-1,LIAM LEE,IAM LEE,LEE LIAM,IAM LEE,LEE LIAM,IAM LEE,index_match
0,631,William  Howard,631,William  xoward,0,-1,WILLIAM HOWARD,WILLIAM XOWARD,HOWARD WILLIAM,WILLIAM XOWARD,HOWARD WILLIAM,WILLIAM XOWARD,index_match
0,195,Astrid  Vásquez,195,Astrid  Vásquez,0,-1,ASTRID VASQUEZ,ASTRID VASQUEZ,ASTRID VASQUEZ,ASTRID VASQUEZ,ASTRID VASQUEZ,ASTRID VASQUEZ,index_match
0,197,Beatrice  Benedetti,197,Beatrice  Bdnedetti,0,-1,BEATRICE BENEDETTI,BEATRICE BDNEDETTI,BEATRICE BENEDETTI,BDNEDETTI BEATRICE,BEATRICE BENEDETTI,BDNEDETTI BEATRICE,index_match
0,198,Sofia  Rizzi,198,Sofia  Rizzi,0,-1,SOFIA RIZZI,SOFIA RIZZI,RIZZI SOFIA,RIZZI SOFIA,RIZZI SOFIA,RIZZI SOFIA,index_match
0,502,Luiz  Pereira,502,Luiz  Pkreira,0,-1,LUIZ PEREIRA,LUIZ PKREIRA,LUIZ PEREIRA,LUIZ PKREIRA,LUIZ PEREIRA,LUIZ PKREIRA,index_match
0,803,Luiz  Lima,803,Luiz  Lima,0,-1,LUIZ LIMA,LUIZ LIMA,LIMA LUIZ,LIMA LUIZ,LIMA LUIZ,LIMA LUIZ,index_match
0,200,Lyn  Amar,200,Lyn  Amar,0,-1,LYN AMAR,LYN AMAR,AMAR LYN,AMAR LYN,AMAR LYN,AMAR LYN,index_match
0,201,Mia  Moreau,201,Mia  Moreau,0,-1,MIA MOREAU,MIA MOREAU,MIA MOREAU,MIA MOREAU,MIA MOREAU,MIA MOREAU,index_match
0,202,Jennifer  Bailey,202,Jennifer  Bailee,0,-1,JENNIFER BAILEY,JENNIFER BAILEE,BAILEY JENNIFER,BAILEE JENNIFER,BAILEY JENNIFER,BAILEE JENNIFER,index_match
0,203,Jack  Rose,203,Rose Jack,0,-1,JACK ROSE,ROSE JACK,JACK ROSE,JACK ROSE,JACK ROSE,JACK ROSE,index_match
0,204,Lamija  Suljić,204,Suljić Lamija,0,-1,LAMIJA SULJIC,SULJIC LAMIJA,LAMIJA SULJIC,LAMIJA SULJIC,LAMIJA SULJIC,LAMIJA SULJIC,index_match
0,1027,Lejla  Suljić,1027,Lejla  Suljić,0,-1,LEJLA SULJIC,LEJLA SULJIC,LEJLA SULJIC,LEJLA SULJIC,LEJLA SULJIC,LEJLA SULJIC,index_match
0,302,Chih-ming  Ieong,302,Chih-ming  Iecong,0,-1,CHIH MING IEONG,CHIH MING IECONG,CHIH IEONG MING,CHIH IECONG MING,CHIH IEONG MING,CHIH IECONG MING,index_match
0,1579,Chih-ming  Lǐ,1579,Chih-ming  Lǐ,0,-1,CHIH MING LI,CHIH MING LI,CHIH LI MING,CHIH LI MING,CHIH LI MING,CHIH LI MING,index_match
0,354,Arthur  Lima,354,Arthur  Lima,0,-1,ARTHUR LIMA,ARTHUR LIMA,ARTHUR LIMA,ARTHUR LIMA,ARTHUR LIMA,ARTHUR LIMA,index_match
0,209,Davud  Petrović,209,Davud  Petrović,0,-1,DAVUD PETROVIC,DAVUD PETROVIC,DAVUD PETROVIC,DAVUD PETROVIC,DAVUD PETROVIC,DAVUD PETROVIC,index_match
0,211,Yìhán Mùchén Wáng,211,Yìhán Mùcnén Wáng,0,-1,YIHAN MUCHEN WANG,YIHAN MUCNEN WANG,MUCHEN WANG YIHAN,MUCNEN WANG YIHAN,MUCHEN WANG YIHAN,MUCNEN WANG YIHAN,index_match
0,214,Fūma  Murakami,214,Fūma  Murakami,0,-1,FUMA MURAKAMI,FUMA MURAKAMI,FUMA MURAKAMI,FUMA MURAKAMI,FUMA MURAKAMI,FUMA MURAKAMI,index_match
0,215,Aþena  Hansen,215,Aþena  Hansen,0,-1,A ENA HANSEN,A ENA HANSEN,A ENA HANSEN,A ENA HANSEN,A ENA HANSEN,A ENA HANSEN,index_match
0,218,August  Olsson,218,August  Oesson,0,-1,AUGUST OLSSON,AUGUST OESSON,AUGUST OLSSON,AUGUST OESSON,AUGUST OLSSON,AUGUST OESSON,index_match
0,219,Amar  Jovanović,219,Amar  Jovanovic,0,-1,AMAR JOVANOVIC,AMAR JOVANOVIC,AMAR JOVANOVIC,AMAR JOVANOVIC,AMAR JOVANOVIC,AMAR JOVANOVIC,index_match
0,220,Aoi  Yoshida,220,Aoi  Yoshida,0,-1,AOI YOSHIDA,AOI YOSHIDA,AOI YOSHIDA,AOI YOSHIDA,AOI YOSHIDA,AOI YOSHIDA,index_match
0,223,Lian  Ohayon,223,L. Ohayon,0,-1,LIAN OHAYON,L OHAYON,LIAN OHAYON,L OHAYON,LIAN OHAYON,L OHAYON,index_match
0,224,Milan  Jovanović,224,Mlan  Jovanović,0,-1,MILAN JOVANOVIC,MLAN JOVANOVIC,JOVANOVIC MILAN,JOVANOVIC MLAN,JOVANOVIC MILAN,JOVANOVIC MLAN,index_match
0,226,Gita  Bishwakarma,226,Gita  Biwshwakarma,0,-1,GITA BISHWAKARMA,GITA BIWSHWAKARMA,BISHWAKARMA GITA,BIWSHWAKARMA GITA,BISHWAKARMA GITA,BIWSHWAKARMA GITA,index_match
0,227,Maneh  Sahakyan,227,Maneh  Sahakyan,0,-1,MANEH SAHAKYAN,MANEH SAHAKYAN,MANEH SAHAKYAN,MANEH SAHAKYAN,MANEH SAHAKYAN,MANEH SAHAKYAN,index_match
0,229,Haru  Miyasaki,229,Haru  Miyasaki,0,-1,HARU MIYASAKI,HARU MIYASAKI,HARU MIYASAKI,HARU MIYASAKI,HARU MIYASAKI,HARU MIYASAKI,index_match
0,231,Elza  Ozols,231,Elza  hzols,0,-1,ELZA OZOLS,ELZA HZOLS,ELZA OZOLS,ELZA HZOLS,ELZA OZOLS,ELZA HZOLS,index_match
0,234,Noah  Cáceres,234,Noah  Caceres,0,-1,NOAH CACERES,NOAH CACERES,CACERES NOAH,CACERES NOAH,CACERES NOAH,CACERES NOAH,index_match
0,236,Kiara  Taylor,236,Kiara  Taylor,0,-1,KIARA TAYLOR,KIARA TAYLOR,KIARA TAYLOR,KIARA TAYLOR,KIARA TAYLOR,KIARA TAYLOR,index_match
0,1570,Klea  Koroveshi,1570,Klea  Koroveshi,0,-1,KLEA KOROVESHI,KLEA KOROVESHI,KLEA KOROVESHI,KLEA KOROVESHI,KLEA KOROVESHI,KLEA KOROVESHI,index_match
